barrio,Con muertos,Atropello,Ciclo Ruta,Glorieta,Interseccion,Lote o Predio,Paso Elevado,Paso Inferior,Paso a Nivel,Pontón,Puente,Tramo de via,Tunel,Via peatonal,cluster
Los Balsos No.1,2.0,6.0,0.0,2.0,57.0,43.0,5.0,0.0,0.0,0.0,1.0,366.0,0.0,0.0,1
Los Balsos No.2,0.0,30.0,1.0,4.0,98.0,123.0,5.0,2.0,0.0,0.0,1.0,685.0,0.0,1.0,2
Los Cerros El Vergel,0.0,35.0,1.0,0.0,43.0,29.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,1
los Colores,4.0,203.0,8.0,297.0,284.0,288.0,4.0,0.0,0.0,1.0,5.0,1899.0,0.0,1.0,3
Los Conquistadores,4.0,168.0,19.0,84.0,482.0,272.0,30.0,96.0,6.0,1.0,10.0,3069.0,23.0,1.0,0
Los Mangos,1.0,126.0,3.0,0.0,75.0,95.0,0.0,0.0,0.0,0.0,0.0,447.0,0.0,0.0,1
Los Naranjos,1.0,21.0,4.0,4.0,103.0,145.0,0.0,0.0,0.0,1.0,0.0,491.0,0.0,0.0,1
Los Pinos,3.0,83.0,7.0,54.0,164.0,78.0,0.0,2.0,1.0,0.0,0.0,831.0,0.0,0.0,2
Manila,1.0,67.0,6.0,327.0,257.0,146.0,62.0,6.0,1.0,0.0,34.0,1378.0,0.0,2.0,5
Manrique Central N° 1,3.0,104.0,2.0,0.0,380.0,123.0,0.0,0.0,0.0,0.0,1.0,793.0,0.0,0.0,2
Manrique Central N°2,2.0,107.0,5.0,0.0,178.0,112.0,1.0,0.0,0.0,0.0,0.0,534.0,0.0,0.0,1
Manrique Oriental,2.0,160.0,7.0,0.0,200.0,115.0,0.0,0.0,0.0,0.0,0.0,728.0,1.0,0.0,2
María Cano Carambolas,0.0,33.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,4
Media Luna,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4
Metropolitano,0.0,6.0,1.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,4
Mirador del Doce,0.0,11.0,0.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,4
Miraflores,0.0,56.0,1.0,0.0,240.0,76.0,0.0,0.0,0.0,0.0,0.0,391.0,0.0,0.0,1
Miranda,4.0,156.0,4.0,0.0,330.0,118.0,1.0,1.0,0.0,0.0,1.0,730.0,0.0,0.0,2
Miravalle,0.0,8.0,1.0,0.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,4
Monteclaro,0.0,15.0,0.0,0.0,3.0,26.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,4
Moravia,2.0,218.0,2.0,22.0,125.0,134.0,6.0,6.0,0.0,0.0,6.0,1062.0,0.0,1.0,2
Moscú No.1,0.0,79.0,3.0,0.0,57.0,51.0,1.0,0.0,0.0,0.0,2.0,283.0,0.0,0.0,1
Moscú N°2,2.0,111.0,1.0,0.0,49.0,73.0,0.0,0.0,0.0,0.0,1.0,290.0,0.0,0.0,1
Naranjal,4.0,167.0,12.0,2.0,376.0,305.0,21.0,18.0,1.0,0.0,44.0,2461.0,1.0,1.0,3
Nueva Villa de Aburrá,0.0,18.0,1.0,0.0,44.0,15.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,1
Nueva Villa de La Iguaná,0.0,32.0,5.0,1.0,108.0,36.0,0.0,0.0,0.0,0.0,5.0,404.0,0.0,0.0,1
Nuevos Conquistadores,0.0,26.0,0.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,4
Ocho de Marzo,0.0,12.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,4
Olaya Herrera,3.0,55.0,0.0,1.0,9.0,48.0,0.0,0.0,0.0,0.0,2.0,187.0,0.0,0.0,1
Oleoducto,7.0,52.0,1.0,0.0,36.0,73.0,26.0,0.0,0.0,0.0,41.0,996.0,0.0,0.0,2
